SSM_index	seg_index	subclone_ID
0	0	1
1	3	1
2	4	1
3	4	1
4	6	1
5	6	1
6	7	1
7	9	1
8	9	1
9	9	1
10	0	1
11	0	1
12	0	1
13	1	1
14	2	1
15	3	1
16	4	1
17	6	1
18	6	1
19	9	1
20	0	2
21	3	2
22	7	2
23	0	2
24	0	2
25	2	2
26	6	2
27	0	3
28	6	4
29	6	4
30	0	4
31	0	4
32	9	5
33	0	5
34	1	5
35	6	5
36	8	5
37	9	5
38	0	6
39	2	6
40	7	6
41	4	7
42	4	7
43	6	7
44	0	7
45	0	7
46	6	7
47	4	8
48	4	8
49	0	8
50	0	8
51	0	8
52	2	8
53	5	8
54	0	9
55	6	9
56	5	9
57	8	9
58	4	10
59	5	10
60	6	10
61	6	10
62	6	10
63	8	10
64	8	10
65	9	10
66	0	10
67	0	10
68	0	10
69	1	10
70	2	10
71	2	10
72	2	10
73	2	10
74	3	10
75	4	10
76	4	10
77	6	10
78	6	10
79	6	10
80	6	10
81	9	10
82	9	10
83	0	11
84	0	11
85	0	11
86	0	11
87	2	11
88	2	11
89	3	11
90	4	11
91	4	11
92	6	11
93	6	11
94	7	11
95	8	11
96	9	11
97	0	11
98	0	11
99	1	11
100	2	11
101	3	11
102	3	11
103	4	11
104	6	11
105	6	11
106	6	11
107	6	11
108	6	11
109	9	11
110	3	12
111	1	12
112	2	12
113	4	12
114	4	13
115	6	13
116	4	13
117	4	13
118	4	13
119	6	13
120	9	13
121	9	13
122	2	14
123	0	15
124	0	15
125	0	15
126	9	15
127	0	15
128	0	15
129	2	15
130	6	15
131	7	15
132	8	15
133	9	15
134	9	15
135	0	16
136	0	16
137	2	16
138	6	16
139	6	16
140	9	16
141	0	16
142	0	16
143	0	17
144	0	17
145	0	17
146	2	17
147	3	17
148	3	17
149	4	17
150	6	17
151	0	17
152	0	17
153	0	17
154	0	17
155	3	17
156	3	17
157	3	17
158	4	17
159	4	17
160	6	17
161	6	17
162	0	18
163	2	18
164	2	18
165	3	18
166	4	18
167	4	18
168	6	18
169	6	18
170	6	18
171	7	18
172	0	18
173	0	18
174	2	18
175	2	18
176	2	18
177	2	18
178	3	18
179	5	18
180	6	18
181	6	18
182	6	18
183	6	18
184	6	18
185	7	18
186	0	19
187	5	19
188	3	20
189	6	20
190	6	20
191	7	20
192	8	20
193	0	20
194	3	20
195	3	20
196	4	20
197	4	20
198	6	20
199	6	20
