SSM_index	seg_index	subclone_ID
0	11	1
1	7	1
2	9	1
3	11	1
4	18	1
5	4	2
6	8	2
7	10	2
8	16	2
9	0	2
10	11	2
11	9	3
12	19	3
13	2	4
14	6	4
15	10	4
16	7	4
17	13	4
18	13	4
19	14	4
20	19	4
21	7	5
22	8	5
23	9	5
24	7	6
25	9	6
26	10	6
27	5	6
28	8	6
29	8	6
30	12	6
31	14	6
32	14	6
33	19	7
34	1	8
35	4	8
36	11	8
37	13	8
38	19	8
39	7	8
40	9	8
41	18	8
42	18	8
43	0	9
44	0	9
45	2	9
46	3	9
47	4	9
48	4	9
49	7	9
50	9	9
51	10	9
52	16	9
53	17	9
54	0	9
55	0	9
56	1	9
57	2	9
58	2	9
59	2	9
60	5	9
61	6	9
62	6	9
63	8	9
64	9	9
65	9	9
66	10	9
67	11	9
68	12	9
69	14	9
70	16	9
71	17	9
72	17	9
73	17	9
74	19	9
75	19	9
76	19	10
77	2	11
78	2	11
79	2	11
80	4	11
81	5	11
82	8	11
83	8	11
84	9	11
85	10	11
86	11	11
87	12	11
88	12	11
89	12	11
90	13	11
91	13	11
92	0	11
93	0	11
94	2	11
95	2	11
96	2	11
97	2	11
98	4	11
99	4	11
100	5	11
101	6	11
102	7	11
103	7	11
104	7	11
105	8	11
106	11	11
107	12	11
108	12	11
109	12	11
110	12	11
111	12	11
112	13	11
113	13	11
114	13	11
115	15	11
116	15	11
117	19	11
118	19	11
119	19	11
120	19	11
121	10	12
122	7	12
123	12	12
124	16	12
125	2	13
126	5	13
127	9	13
128	12	13
129	0	13
130	0	13
131	0	13
132	2	13
133	2	13
134	2	13
135	4	13
136	4	13
137	4	13
138	7	13
139	8	13
140	8	13
141	9	13
142	9	13
143	9	13
144	9	13
145	9	13
146	12	13
147	13	13
148	14	13
149	18	13
150	18	13
151	19	13
152	8	14
153	10	14
154	4	14
155	10	14
156	11	14
157	12	14
158	12	14
159	15	14
160	19	14
161	19	14
162	4	15
163	6	15
164	8	15
165	16	15
166	16	15
167	18	15
168	0	15
169	4	15
170	4	15
171	6	15
172	10	15
173	12	15
174	18	15
175	0	16
176	19	16
177	4	16
178	11	16
179	12	16
180	16	16
181	2	17
182	0	17
183	1	17
184	3	17
185	15	17
186	16	17
187	18	17
188	18	17
189	8	18
190	17	18
191	2	19
192	12	19
193	6	19
194	9	19
195	4	20
196	8	20
197	12	20
198	18	20
199	18	20
