SSM_index	seg_index	subclone_ID
0	0	1
1	1	1
2	2	1
3	2	1
4	3	1
5	5	1
6	5	1
7	5	1
8	5	1
9	5	1
10	5	1
11	6	1
12	7	1
13	0	1
14	6	1
15	6	1
16	7	1
17	7	1
18	0	2
19	1	2
20	2	2
21	2	2
22	3	2
23	4	2
24	6	2
25	7	2
26	7	2
27	0	2
28	0	2
29	4	2
30	3	3
31	5	3
32	8	3
33	0	4
34	1	4
35	3	4
36	5	4
37	9	4
38	8	4
39	9	4
40	0	5
41	6	5
42	2	6
43	7	6
44	6	6
45	9	6
46	1	7
47	3	7
48	5	7
49	6	7
50	0	8
51	0	8
52	2	8
53	3	8
54	5	8
55	5	8
56	6	8
57	7	8
58	7	8
59	0	8
60	0	8
61	3	8
62	5	8
63	5	8
64	9	8
65	0	9
66	0	9
67	1	9
68	4	9
69	6	9
70	8	9
71	4	9
72	5	9
73	6	9
74	6	9
75	7	9
76	7	9
77	8	9
78	8	10
79	8	10
80	9	10
81	0	10
82	0	10
83	1	10
84	1	10
85	3	10
86	3	10
87	6	10
88	7	10
89	8	10
90	0	11
91	3	11
92	5	11
93	9	11
94	0	12
95	2	12
96	3	12
97	6	12
98	8	12
99	8	12
100	0	12
101	3	12
102	3	12
103	5	12
104	5	12
105	8	12
106	2	13
107	8	13
108	9	13
109	1	13
110	3	13
111	5	13
112	5	13
113	0	14
114	0	14
115	1	14
116	3	14
117	3	14
118	4	14
119	7	14
120	7	14
121	8	14
122	9	14
123	0	14
124	1	14
125	4	14
126	5	14
127	5	14
128	7	14
129	7	14
130	8	14
131	8	14
132	8	14
133	9	14
134	0	15
135	2	15
136	4	15
137	8	15
138	8	15
139	0	15
140	0	15
141	3	15
142	5	15
143	6	15
144	8	15
145	8	15
146	9	15
147	0	16
148	2	16
149	3	16
150	3	16
151	3	16
152	4	16
153	6	16
154	6	16
155	7	16
156	8	16
157	0	16
158	1	16
159	1	16
160	1	16
161	3	16
162	3	16
163	5	16
164	5	16
165	5	16
166	5	16
167	5	16
168	6	16
169	7	16
170	7	16
171	0	17
172	4	17
173	4	17
174	6	17
175	0	17
176	0	17
177	6	17
178	6	17
179	8	17
180	1	18
181	6	18
182	8	18
183	0	18
184	0	18
185	4	18
186	4	18
187	6	18
188	7	18
189	4	19
190	8	19
191	8	19
192	3	19
193	3	19
194	9	19
195	4	20
196	6	20
197	7	20
198	9	20
199	8	20
