SSM_index	seg_index	subclone_ID
0	2	1
1	7	1
2	2	2
3	3	2
4	3	2
5	6	2
6	8	2
7	8	2
8	9	2
9	2	3
10	8	3
11	8	3
12	9	3
13	4	3
14	4	3
15	5	3
16	9	3
17	2	4
18	3	4
19	8	4
20	3	4
21	4	4
22	7	4
23	8	4
24	4	5
25	6	5
26	1	6
27	2	6
28	3	6
29	3	6
30	5	6
31	7	6
32	1	6
33	2	7
34	2	7
35	4	7
36	4	7
37	7	7
38	8	7
39	8	7
40	8	7
41	8	7
42	8	7
43	8	7
44	8	7
45	8	7
46	8	7
47	9	7
48	9	7
49	8	7
50	0	8
51	1	8
52	2	8
53	3	8
54	3	8
55	5	8
56	8	8
57	8	8
58	9	8
59	2	8
60	3	8
61	7	8
62	0	9
63	2	9
64	2	9
65	3	9
66	3	9
67	4	9
68	5	9
69	5	9
70	6	9
71	7	9
72	7	9
73	7	9
74	8	9
75	8	9
76	8	9
77	8	9
78	8	9
79	8	9
80	8	9
81	8	9
82	9	9
83	9	9
84	0	9
85	1	9
86	5	9
87	6	9
88	6	9
89	8	9
90	8	9
91	9	9
92	9	9
93	9	9
94	6	10
95	6	10
96	8	10
97	0	11
98	2	11
99	7	11
100	8	11
101	8	11
102	9	11
103	1	11
104	8	11
105	0	12
106	4	12
107	6	12
108	6	12
109	2	13
110	3	13
111	4	13
112	8	13
113	9	13
114	1	13
115	2	13
116	8	14
117	8	14
118	8	14
119	0	14
120	0	15
121	9	15
122	2	15
123	5	15
124	0	16
125	0	16
126	2	16
127	3	16
128	3	16
129	4	16
130	4	16
131	5	16
132	5	16
133	5	16
134	5	16
135	8	16
136	8	16
137	8	16
138	8	16
139	8	16
140	9	16
141	9	16
142	9	16
143	9	16
144	1	16
145	2	16
146	2	16
147	6	16
148	2	17
149	2	17
150	3	17
151	8	17
152	6	17
153	6	17
154	5	18
155	5	18
156	0	18
157	2	18
158	2	18
159	5	18
160	3	19
161	3	19
162	3	19
163	3	19
164	4	19
165	4	19
166	4	19
167	4	19
168	5	19
169	5	19
170	5	19
171	5	19
172	5	19
173	5	19
174	5	19
175	8	19
176	8	19
177	8	19
178	8	19
179	8	19
180	8	19
181	8	19
182	8	19
183	8	19
184	8	19
185	8	19
186	0	19
187	0	19
188	0	19
189	0	19
190	0	19
191	1	19
192	1	19
193	2	19
194	3	19
195	5	19
196	5	19
197	6	19
198	6	19
199	0	20
