CNA_index	seg_index	subclone_ID	phase	change
0	2	1	A	2
1	7	1	B	1
2	8	1	B	-1
3	6	2	B	2
4	0	4	A	1
5	2	4	A	1
6	9	5	B	-1
7	1	6	B	-1
8	5	7	A	1
9	4	7	B	-1
10	6	7	B	1
11	2	8	B	-1
12	1	9	A	-1
13	2	9	B	-1
14	4	9	B	-1
15	9	9	B	-1
16	2	10	A	1
17	3	10	A	-1
18	4	10	A	-1
19	7	10	A	-1
20	6	10	B	2
21	1	11	A	-1
22	2	12	A	1
23	4	12	A	-1
24	6	12	A	-1
25	5	12	B	1
26	6	13	B	1
27	2	14	B	-1
28	0	15	A	1
29	2	18	A	1
30	8	18	A	2
31	0	18	B	-1
32	5	18	B	1
33	4	19	A	-1
34	1	20	A	-1
35	2	20	A	1
36	7	20	A	-1
37	1	20	B	-1
38	4	20	B	-1
39	7	20	B	1
