SSM_index	seg_index	subclone_ID
0	0	1
1	0	1
2	1	1
3	2	1
4	2	1
5	2	1
6	3	1
7	4	1
8	5	1
9	5	1
10	7	1
11	7	1
12	8	1
13	8	1
14	9	1
15	9	1
16	0	2
17	0	2
18	2	2
19	4	2
20	6	2
21	6	2
22	8	2
23	1	3
24	1	3
25	1	3
26	2	3
27	2	3
28	2	3
29	2	3
30	2	3
31	2	3
32	2	3
33	2	3
34	3	3
35	3	3
36	4	3
37	5	3
38	5	3
39	6	3
40	6	3
41	6	3
42	7	3
43	7	3
44	7	3
45	8	3
46	8	3
47	8	3
48	8	3
49	3	3
50	4	3
51	5	3
52	5	3
53	6	3
54	8	3
55	8	3
56	8	3
57	9	3
58	6	4
59	8	4
60	2	5
61	8	5
62	2	6
63	2	6
64	2	6
65	2	6
66	4	6
67	5	6
68	8	6
69	8	6
70	8	6
71	8	6
72	3	6
73	4	7
74	5	7
75	7	7
76	7	7
77	1	8
78	1	8
79	4	8
80	4	8
81	5	8
82	5	8
83	5	8
84	6	8
85	6	8
86	6	8
87	7	8
88	8	8
89	8	8
90	1	8
91	1	9
92	6	9
93	9	9
94	2	10
95	2	10
96	5	10
97	6	10
98	6	10
99	6	10
100	8	10
101	8	10
102	0	10
103	1	11
104	1	11
105	4	11
106	5	11
107	6	11
108	6	11
109	6	11
110	8	11
111	8	11
112	8	11
113	8	11
114	8	11
115	0	11
116	1	11
117	1	11
118	5	11
119	5	11
120	7	11
121	8	11
122	9	11
123	1	12
124	1	12
125	2	12
126	2	12
127	2	12
128	7	12
129	8	12
130	2	13
131	2	13
132	2	13
133	2	13
134	5	13
135	6	13
136	7	13
137	7	13
138	7	13
139	7	13
140	7	13
141	8	13
142	8	13
143	8	13
144	8	13
145	8	13
146	1	13
147	3	13
148	9	13
149	2	14
150	2	14
151	4	14
152	5	14
153	6	14
154	7	14
155	0	14
156	1	14
157	5	15
158	5	15
159	8	15
160	0	15
161	7	15
162	7	15
163	1	16
164	5	16
165	5	16
166	7	16
167	7	16
168	8	16
169	5	16
170	1	17
171	2	17
172	2	17
173	2	17
174	3	17
175	5	17
176	5	17
177	8	17
178	1	18
179	8	18
180	6	18
181	6	18
182	5	19
183	8	19
184	8	19
185	1	20
186	1	20
187	1	20
188	2	20
189	2	20
190	5	20
191	5	20
192	6	20
193	6	20
194	6	20
195	8	20
196	8	20
197	8	20
198	0	20
199	8	20
