SSM_index	seg_index	subclone_ID
0	3	1
1	6	1
2	10	1
3	3	1
4	8	1
5	9	1
6	11	1
7	17	1
8	18	1
9	9	2
10	10	2
11	17	2
12	12	3
13	16	3
14	17	3
15	18	3
16	2	3
17	11	3
18	17	3
19	18	3
20	2	4
21	8	4
22	8	4
23	9	4
24	9	4
25	11	4
26	14	4
27	14	4
28	0	5
29	4	5
30	4	5
31	8	5
32	9	5
33	14	5
34	14	5
35	15	5
36	17	5
37	18	5
38	18	5
39	2	5
40	2	5
41	3	5
42	3	5
43	6	5
44	8	5
45	8	5
46	8	5
47	9	5
48	11	5
49	12	5
50	14	5
51	14	5
52	17	5
53	17	5
54	18	5
55	18	5
56	18	5
57	0	6
58	3	6
59	8	6
60	14	6
61	14	6
62	8	6
63	9	6
64	12	6
65	14	6
66	15	6
67	15	6
68	17	6
69	18	6
70	10	7
71	0	8
72	8	8
73	8	8
74	9	8
75	10	8
76	10	8
77	1	8
78	2	8
79	6	8
80	8	8
81	13	8
82	13	8
83	15	8
84	17	8
85	17	8
86	18	8
87	0	9
88	5	9
89	7	9
90	5	9
91	11	9
92	11	9
93	15	9
94	4	10
95	8	10
96	9	10
97	9	10
98	0	10
99	0	10
100	2	10
101	5	10
102	6	10
103	7	10
104	8	11
105	9	11
106	14	11
107	14	11
108	8	11
109	9	11
110	13	11
111	18	11
112	0	12
113	3	12
114	3	12
115	7	12
116	8	12
117	8	12
118	8	12
119	14	12
120	18	12
121	18	12
122	18	12
123	0	12
124	0	12
125	1	12
126	3	12
127	8	12
128	8	12
129	9	12
130	10	12
131	12	12
132	13	12
133	13	12
134	13	12
135	14	12
136	14	12
137	14	12
138	14	12
139	14	12
140	16	12
141	18	12
142	18	12
143	18	12
144	18	12
145	19	12
146	13	13
147	19	13
148	2	13
149	3	13
150	4	13
151	7	13
152	8	13
153	8	13
154	9	13
155	9	13
156	16	13
157	18	13
158	18	13
159	18	13
160	18	13
161	19	13
162	9	14
163	13	14
164	6	14
165	4	15
166	13	15
167	14	15
168	14	15
169	2	15
170	17	15
171	7	16
172	9	16
173	6	16
174	10	17
175	14	17
176	3	17
177	8	17
178	18	17
179	18	17
180	7	18
181	8	18
182	9	18
183	2	18
184	6	18
185	10	18
186	13	18
187	14	18
188	2	19
189	8	19
190	14	19
191	2	19
192	5	19
193	8	19
194	8	19
195	9	19
196	10	19
197	12	19
198	18	19
199	15	20
